Phase,Week,Step,Type,Duration,Tools,Deliverables,Description
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.1 Environment Setup,MAIN TASK,2-3 hours,"GitHub, Python, Conda/pip",GitHub repo link; Installed environment verification,1.1 Environment Setup
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.1 Environment Setup,SUBTASK,,,,1.1.1 Create GitHub repository (AAHRC-Calculator)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.1 Environment Setup,SUBTASK,,,,1.1.2 Install Python 3.10+ with conda/pip
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.1 Environment Setup,SUBTASK,,,,1.1.3 Set up virtual environment (venv or conda)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.1 Environment Setup,SUBTASK,,,,"1.1.4 Install core packages: pandas, numpy, scikit-learn, lifelines, matplotlib, seaborn"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.1 Environment Setup,SUBTASK,,,,"1.1.5 Create folder structure: /data, /analysis, /models, /notebooks, /results, /app"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.1 Environment Setup,SUBTASK,,,,"1.1.6 Initialize .gitignore (include /data, /models, .DS_Store)"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.2 Literature Review (Rapid),MAIN TASK,4-5 hours,"PubMed, Google Scholar",Key statistics summary spreadsheet; Risk estimates table,1.2 Literature Review (Rapid)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.2 Literature Review (Rapid),SUBTASK,,,,1.2.1 Review 5-7 key BP-albuminuria papers (already summarized in proposal)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.2 Literature Review (Rapid),SUBTASK,,,,"1.2.2 Extract key statistics: risk ratios, C-statistics, prevalence data"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.2 Literature Review (Rapid),SUBTASK,,,,1.2.3 Document baseline risk estimates for CVD by category
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.2 Literature Review (Rapid),SUBTASK,,,,1.2.4 Identify any published AABPI or similar scores
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,MAIN TASK,3-4 hours,"Python (pandas, pyreadstat), R (haven)",merged_nhanes_2017_2020.csv; Data dictionary (300-400 rows),1.3 Download & Explore NHANES Data
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,SUBTASK,,,,1.3.1 Go to CDC NHANES website (wwwn.cdc.gov/nchs/nhanes/)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,SUBTASK,,,,1.3.2 Download 2017-2020 cycle data:
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,SUBTASK,,,,"       - ALB_CR_H.XPT (albuminuria, ~14,919 records)"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,SUBTASK,,,,       - BPX_H.XPT (blood pressure)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,SUBTASK,,,,       - DEMO_H.XPT (demographics)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,SUBTASK,,,,1.3.3 Merge datasets on SEQN (sequence number)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,SUBTASK,,,,1.3.4 Convert from SAS/STATA format to CSV using Python/R
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),MAIN TASK,4-5 hours,"Python (pandas, seaborn, matplotlib)",EDA_Report.html (with summary tables & histograms); Missing_Data_Analysis.csv,1.4 Initial Data Exploration (EDA)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,1.4.1 Load data into Python/R
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,"1.4.2 Check sample size: Should be ~14,919 with BP + uACR data"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,"1.4.3 Descriptive statistics: mean, SD, min, max for:"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,       - Age (RIDAGEYR): expect 18-80 years
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,"       - SBP (SBPX1, SBPX2, SBPX3): expect 90-240 mmHg"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,"       - DBP (DBPX1, DBPX2, DBPX3): expect 40-150 mmHg"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,       - uACR (UALBUMC): expect 0-5000 mg/g
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,1.4.4 Check missing data patterns (% missing for each)
