Phase,Week,Task,Deliverable,Type,Status,Due_Date,Notes
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.1 Environment Setup,GitHub repo link,Document,Not Started,Week 1,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.1 Environment Setup,Installed environment verification,Document,Not Started,Week 1,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.2 Literature Review (Rapid),Key statistics summary spreadsheet,Document,Not Started,Week 1,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.2 Literature Review (Rapid),Risk estimates table,Document,Not Started,Week 1,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,merged_nhanes_2017_2020.csv,Output,Not Started,Week 2,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,Data dictionary (300-400 rows),Document,Not Started,Week 2,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),EDA_Report.html (with summary tables & histograms),Output,Not Started,Week 2,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),Missing_Data_Analysis.csv,Output,Not Started,Week 2,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,nhanes_cleaned.csv (final analytic file),Output,Not Started,Week 2,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,Data_Cleaning_Log.txt,Output,Not Started,Week 2,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.6 Create AABPI Categories,AABPI_Categories.csv,Output,Not Started,Week 3,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.6 Create AABPI Categories,Category_Distribution_Plot.png,Output,Not Started,Week 3,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.7 Descriptive Analysis by Category,Table1_BaselineCharacteristics.csv,Output,Not Started,Week 3,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.7 Descriptive Analysis by Category,Statistical_Tests.txt,Output,Not Started,Week 3,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.8 Submit SPRINT Data Request,Data request confirmation email,Document,Not Started,Week 4,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.8 Submit SPRINT Data Request,SPRINT Data Use Agreement (signed),Document,Not Started,Week 4,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.9 Apply for UK Biobank Access (Optional),UK Biobank Application confirmation,Document,Not Started,Week 4,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.9 Apply for UK Biobank Access (Optional),Project proposal (saved),Document,Not Started,Week 4,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.10 Weekly Check-in & Documentation,README.md,Output,Not Started,Week 4,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.10 Weekly Check-in & Documentation,CHANGELOG.md,Output,Not Started,Week 4,
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.10 Weekly Check-in & Documentation,GitHub commits,Document,Not Started,Week 4,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.1 Simulate CVD Outcomes for NHANES,nhanes_with_outcomes.csv,Output,Not Started,Week 5,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.1 Simulate CVD Outcomes for NHANES,Risk_Calculation_Methodology.txt,Output,Not Started,Week 5,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.2 Develop Categorical AABPI (Formula 1),Formula1_Categorical_Results.csv,Output,Not Started,Week 5,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.2 Develop Categorical AABPI (Formula 1),Formula1_Model.pkl,Output,Not Started,Week 5,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.3 Develop Ratio Method AABPI (Formula 2),Formula2_Ratio_Results.csv,Output,Not Started,Week 5,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.3 Develop Ratio Method AABPI (Formula 2),Formula2_Comparison.png,Output,Not Started,Week 5,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),6,2.4 Develop Regression-Based AABPI (Formula 3),Formula3_Regression_Coefficients.csv,Output,Not Started,Week 6,
